DiffusionLM: 6L dim=768 heads=12 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 43200.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 36,965,632
step 00000 (0.0%) | loss: 101.4879 | gnorm: 79.7667 | dt: 286ms | tok/s: 14,310 | remaining: 43200s
step 00020 (0.0%) | loss: 51.1163 | gnorm: 16.4401 | dt: 246ms | tok/s: 16,673 | remaining: 43196s
step 00040 (0.0%) | loss: 40.2861 | gnorm: 4.7451 | dt: 247ms | tok/s: 16,574 | remaining: 43191s
step 00060 (0.0%) | loss: 46.7531 | gnorm: 11.3199 | dt: 273ms | tok/s: 15,002 | remaining: 43186s
step 00080 (0.0%) | loss: 37.8061 | gnorm: 4.0397 | dt: 266ms | tok/s: 15,384 | remaining: 43181s
step 00100 (0.1%) | loss: 45.7844 | gnorm: 9.0745 | dt: 263ms | tok/s: 15,555 | remaining: 43176s
step 00120 (0.1%) | loss: 36.6887 | gnorm: 5.8945 | dt: 264ms | tok/s: 15,514 | remaining: 43170s
step 00140 (0.1%) | loss: 42.9049 | gnorm: 8.9087 | dt: 267ms | tok/s: 15,365 | remaining: 43165s
step 00160 (0.1%) | loss: 33.6197 | gnorm: 3.4265 | dt: 269ms | tok/s: 15,233 | remaining: 43160s
step 00180 (0.1%) | loss: 37.9578 | gnorm: 8.8522 | dt: 270ms | tok/s: 15,175 | remaining: 43154s
step 00200 (0.1%) | loss: 31.4012 | gnorm: 5.8397 | dt: 275ms | tok/s: 14,872 | remaining: 43149s
step 00220 (0.1%) | loss: 36.3696 | gnorm: 9.7500 | dt: 275ms | tok/s: 14,894 | remaining: 43143s
step 00240 (0.1%) | loss: 29.3596 | gnorm: 3.6307 | dt: 274ms | tok/s: 14,957 | remaining: 43138s
step 00260 (0.2%) | loss: 32.1056 | gnorm: 8.4781 | dt: 274ms | tok/s: 14,956 | remaining: 43132s
step 00280 (0.2%) | loss: 27.8930 | gnorm: 3.5579 | dt: 271ms | tok/s: 15,095 | remaining: 43127s
step 00300 (0.2%) | loss: 31.5391 | gnorm: 9.1873 | dt: 279ms | tok/s: 14,696 | remaining: 43122s
step 00320 (0.2%) | loss: 26.7915 | gnorm: 5.2514 | dt: 269ms | tok/s: 15,200 | remaining: 43116s
step 00340 (0.2%) | loss: 30.8563 | gnorm: 10.3097 | dt: 267ms | tok/s: 15,320 | remaining: 43111s
step 00360 (0.2%) | loss: 26.8336 | gnorm: 3.7396 | dt: 268ms | tok/s: 15,308 | remaining: 43105s
step 00380 (0.2%) | loss: 30.4132 | gnorm: 7.2913 | dt: 268ms | tok/s: 15,283 | remaining: 43100s
step 00400 (0.2%) | loss: 26.9186 | gnorm: 3.1342 | dt: 274ms | tok/s: 14,935 | remaining: 43094s
step 00420 (0.3%) | loss: 30.5083 | gnorm: 7.6203 | dt: 260ms | tok/s: 15,747 | remaining: 43089s
step 00440 (0.3%) | loss: 26.0328 | gnorm: 3.9811 | dt: 266ms | tok/s: 15,418 | remaining: 43084s
step 00460 (0.3%) | loss: 29.9203 | gnorm: 8.9012 | dt: 267ms | tok/s: 15,323 | remaining: 43078s
step 00480 (0.3%) | loss: 27.5061 | gnorm: 3.5398 | dt: 267ms | tok/s: 15,339 | remaining: 43073s
step 00500 (0.3%) | loss: 29.1511 | gnorm: 9.0928 | dt: 267ms | tok/s: 15,323 | remaining: 43068s
step 00520 (0.3%) | loss: 24.2762 | gnorm: 3.1294 | dt: 269ms | tok/s: 15,199 | remaining: 43062s
step 00540 (0.3%) | loss: 27.7810 | gnorm: 8.7995 | dt: 269ms | tok/s: 15,230 | remaining: 43057s
step 00560 (0.3%) | loss: 25.0455 | gnorm: 3.3123 | dt: 270ms | tok/s: 15,198 | remaining: 43051s
step 00580 (0.4%) | loss: 28.2247 | gnorm: 9.9842 | dt: 284ms | tok/s: 14,414 | remaining: 43046s
step 00600 (0.4%) | loss: 23.4600 | gnorm: 3.4519 | dt: 271ms | tok/s: 15,138 | remaining: 43041s
step 00620 (0.4%) | loss: 27.3776 | gnorm: 8.5592 | dt: 270ms | tok/s: 15,172 | remaining: 43035s
step 00640 (0.4%) | loss: 22.8654 | gnorm: 3.9459 | dt: 263ms | tok/s: 15,547 | remaining: 43030s
step 00660 (0.4%) | loss: 29.3993 | gnorm: 9.6294 | dt: 270ms | tok/s: 15,156 | remaining: 43024s
step 00680 (0.4%) | loss: 24.1951 | gnorm: 3.5196 | dt: 271ms | tok/s: 15,090 | remaining: 43019s
step 00700 (0.4%) | loss: 28.3879 | gnorm: 8.7529 | dt: 272ms | tok/s: 15,070 | remaining: 43013s
