DiffusionLM: 4L dim=512 heads=8 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 300.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 11,535,872
step 00000 (0.0%) | loss: 7.0606 | gnorm: 5.7156 | dt: 114ms | tok/s: 35,872 | remaining: 300s
step 00020 (0.4%) | loss: 6.5705 | gnorm: 2.7318 | dt: 91ms | tok/s: 44,830 | remaining: 299s
step 00040 (1.0%) | loss: 6.2218 | gnorm: 1.3222 | dt: 92ms | tok/s: 44,488 | remaining: 297s
step 00060 (1.6%) | loss: 5.9974 | gnorm: 1.2062 | dt: 92ms | tok/s: 44,529 | remaining: 295s
step 00080 (2.8%) | loss: 5.9270 | gnorm: 1.0720 | dt: 328ms | tok/s: 12,498 | remaining: 291s
step 00100 (4.1%) | loss: 5.8185 | gnorm: 1.1038 | dt: 180ms | tok/s: 22,744 | remaining: 287s
step 00120 (5.0%) | loss: 5.7316 | gnorm: 1.4802 | dt: 117ms | tok/s: 34,895 | remaining: 285s
step 00140 (5.7%) | loss: 5.6050 | gnorm: 1.2215 | dt: 110ms | tok/s: 37,137 | remaining: 283s
step 00160 (6.5%) | loss: 5.4823 | gnorm: 0.9987 | dt: 105ms | tok/s: 39,044 | remaining: 281s
step 00180 (7.2%) | loss: 5.3845 | gnorm: 0.9496 | dt: 103ms | tok/s: 39,767 | remaining: 278s
step 00200 (7.9%) | loss: 5.2535 | gnorm: 1.3979 | dt: 107ms | tok/s: 38,129 | remaining: 276s
step 00220 (8.6%) | loss: 5.1855 | gnorm: 1.2222 | dt: 111ms | tok/s: 36,755 | remaining: 274s
step 00240 (9.3%) | loss: 5.1105 | gnorm: 0.9042 | dt: 107ms | tok/s: 38,107 | remaining: 272s
step 00260 (10.1%) | loss: 5.0083 | gnorm: 0.9614 | dt: 105ms | tok/s: 38,844 | remaining: 270s
step 00280 (10.8%) | loss: 4.9413 | gnorm: 1.1115 | dt: 116ms | tok/s: 35,355 | remaining: 267s
step 00300 (11.5%) | loss: 4.8881 | gnorm: 0.9770 | dt: 113ms | tok/s: 36,402 | remaining: 265s
step 00320 (12.3%) | loss: 4.8125 | gnorm: 1.3760 | dt: 113ms | tok/s: 36,240 | remaining: 263s
step 00340 (13.0%) | loss: 4.8065 | gnorm: 1.0743 | dt: 115ms | tok/s: 35,575 | remaining: 261s
step 00360 (13.8%) | loss: 4.7505 | gnorm: 0.9544 | dt: 106ms | tok/s: 38,660 | remaining: 259s
step 00380 (14.5%) | loss: 4.6982 | gnorm: 0.9324 | dt: 109ms | tok/s: 37,449 | remaining: 256s
step 00400 (15.2%) | loss: 4.7387 | gnorm: 0.7352 | dt: 109ms | tok/s: 37,576 | remaining: 254s
step 00420 (16.0%) | loss: 4.6880 | gnorm: 0.9065 | dt: 107ms | tok/s: 38,451 | remaining: 252s
step 00440 (16.7%) | loss: 4.7167 | gnorm: 0.9232 | dt: 109ms | tok/s: 37,572 | remaining: 250s
step 00460 (17.5%) | loss: 4.7019 | gnorm: 0.9751 | dt: 110ms | tok/s: 37,362 | remaining: 248s
step 00480 (18.2%) | loss: 4.6329 | gnorm: 0.9971 | dt: 110ms | tok/s: 37,257 | remaining: 245s
step 00500 (18.9%) | loss: 4.6704 | gnorm: 1.1996 | dt: 118ms | tok/s: 34,680 | remaining: 243s
step 00520 (19.7%) | loss: 4.5360 | gnorm: 0.8996 | dt: 107ms | tok/s: 38,177 | remaining: 241s
step 00540 (20.4%) | loss: 4.5550 | gnorm: 0.8951 | dt: 108ms | tok/s: 37,906 | remaining: 239s
step 00560 (21.1%) | loss: 4.5164 | gnorm: 0.9289 | dt: 110ms | tok/s: 37,282 | remaining: 236s
step 00580 (21.9%) | loss: 4.5217 | gnorm: 0.9768 | dt: 109ms | tok/s: 37,720 | remaining: 234s
step 00600 (22.6%) | loss: 4.4701 | gnorm: 0.9102 | dt: 108ms | tok/s: 37,992 | remaining: 232s
step 00620 (23.3%) | loss: 4.4461 | gnorm: 0.8479 | dt: 109ms | tok/s: 37,568 | remaining: 230s
step 00640 (24.1%) | loss: 4.4234 | gnorm: 0.9857 | dt: 108ms | tok/s: 37,751 | remaining: 228s
step 00660 (24.8%) | loss: 4.6307 | gnorm: 1.1043 | dt: 115ms | tok/s: 35,555 | remaining: 225s
step 00680 (25.5%) | loss: 4.4841 | gnorm: 1.1239 | dt: 110ms | tok/s: 37,139 | remaining: 223s
step 00700 (26.3%) | loss: 4.5108 | gnorm: 0.8958 | dt: 109ms | tok/s: 37,482 | remaining: 221s
step 00720 (27.0%) | loss: 4.4529 | gnorm: 1.1356 | dt: 110ms | tok/s: 37,182 | remaining: 219s
step 00740 (27.7%) | loss: 4.4531 | gnorm: 0.8752 | dt: 106ms | tok/s: 38,546 | remaining: 217s
step 00760 (28.5%) | loss: 4.4060 | gnorm: 0.7886 | dt: 108ms | tok/s: 37,771 | remaining: 214s
step 00780 (29.2%) | loss: 4.3406 | gnorm: 0.9391 | dt: 109ms | tok/s: 37,626 | remaining: 212s
step 00800 (29.9%) | loss: 4.3459 | gnorm: 0.9427 | dt: 107ms | tok/s: 38,265 | remaining: 210s
step 00820 (30.6%) | loss: 4.4224 | gnorm: 0.8099 | dt: 108ms | tok/s: 37,889 | remaining: 208s
step 00840 (31.4%) | loss: 4.3761 | gnorm: 0.9090 | dt: 109ms | tok/s: 37,743 | remaining: 206s
step 00860 (32.1%) | loss: 4.3286 | gnorm: 0.8714 | dt: 104ms | tok/s: 39,218 | remaining: 204s
step 00880 (32.8%) | loss: 4.2835 | gnorm: 0.9340 | dt: 113ms | tok/s: 36,277 | remaining: 201s
step 00900 (33.6%) | loss: 4.3306 | gnorm: 0.8653 | dt: 113ms | tok/s: 36,114 | remaining: 199s
step 00920 (34.3%) | loss: 4.2932 | gnorm: 0.9013 | dt: 108ms | tok/s: 38,011 | remaining: 197s
step 00940 (35.0%) | loss: 4.2335 | gnorm: 0.9145 | dt: 108ms | tok/s: 37,927 | remaining: 195s
step 00960 (35.8%) | loss: 4.3009 | gnorm: 0.7656 | dt: 109ms | tok/s: 37,467 | remaining: 193s
step 00980 (36.5%) | loss: 4.2166 | gnorm: 0.8362 | dt: 108ms | tok/s: 37,961 | remaining: 190s
step 01000 (37.2%) | loss: 4.2302 | gnorm: 0.9099 | dt: 109ms | tok/s: 37,671 | remaining: 188s
step 01020 (37.9%) | loss: 4.2680 | gnorm: 0.9611 | dt: 110ms | tok/s: 37,200 | remaining: 186s
step 01040 (38.7%) | loss: 4.2147 | gnorm: 1.3748 | dt: 113ms | tok/s: 36,399 | remaining: 184s
step 01060 (39.4%) | loss: 4.1474 | gnorm: 0.8266 | dt: 108ms | tok/s: 37,810 | remaining: 182s
step 01080 (40.1%) | loss: 4.1614 | gnorm: 1.0207 | dt: 109ms | tok/s: 37,533 | remaining: 179s
step 01100 (40.9%) | loss: 4.2345 | gnorm: 1.1470 | dt: 115ms | tok/s: 35,511 | remaining: 177s
step 01120 (41.6%) | loss: 4.1808 | gnorm: 0.8320 | dt: 107ms | tok/s: 38,202 | remaining: 175s
step 01140 (42.3%) | loss: 4.1884 | gnorm: 0.8187 | dt: 109ms | tok/s: 37,718 | remaining: 173s
step 01160 (43.0%) | loss: 4.1814 | gnorm: 1.0432 | dt: 115ms | tok/s: 35,670 | remaining: 171s
step 01180 (43.8%) | loss: 4.1851 | gnorm: 1.0508 | dt: 111ms | tok/s: 36,792 | remaining: 169s
step 01200 (44.5%) | loss: 4.1559 | gnorm: 0.9356 | dt: 107ms | tok/s: 38,167 | remaining: 166s
step 01220 (45.2%) | loss: 4.1533 | gnorm: 1.0468 | dt: 114ms | tok/s: 36,078 | remaining: 164s
step 01240 (46.0%) | loss: 4.1933 | gnorm: 0.8051 | dt: 108ms | tok/s: 38,035 | remaining: 162s
step 01260 (46.7%) | loss: 4.3040 | gnorm: 1.4290 | dt: 112ms | tok/s: 36,635 | remaining: 160s
step 01280 (47.4%) | loss: 4.2113 | gnorm: 1.0863 | dt: 112ms | tok/s: 36,713 | remaining: 158s
step 01300 (48.1%) | loss: 4.1580 | gnorm: 0.8586 | dt: 110ms | tok/s: 37,255 | remaining: 155s
step 01320 (48.9%) | loss: 4.0457 | gnorm: 0.9385 | dt: 111ms | tok/s: 36,744 | remaining: 153s
step 01340 (49.6%) | loss: 4.1304 | gnorm: 0.9215 | dt: 109ms | tok/s: 37,465 | remaining: 151s
step 01360 (50.3%) | loss: 4.0713 | gnorm: 1.0265 | dt: 127ms | tok/s: 32,333 | remaining: 149s
step 01380 (51.0%) | loss: 4.1097 | gnorm: 0.8481 | dt: 108ms | tok/s: 38,093 | remaining: 147s
step 01400 (51.8%) | loss: 4.1251 | gnorm: 1.3552 | dt: 113ms | tok/s: 36,218 | remaining: 145s
step 01420 (52.5%) | loss: 4.1239 | gnorm: 0.9346 | dt: 107ms | tok/s: 38,239 | remaining: 142s
step 01440 (53.2%) | loss: 4.0609 | gnorm: 1.0218 | dt: 115ms | tok/s: 35,599 | remaining: 140s
step 01460 (54.0%) | loss: 4.1603 | gnorm: 0.8138 | dt: 109ms | tok/s: 37,588 | remaining: 138s
