DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 600.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,200
step 00000 (0.0%) | loss: 7.0400 | gnorm: 4.8660 | dt: 220ms | tok/s: 18,626 | remaining: 600s
step 00020 (0.5%) | loss: 6.5956 | gnorm: 2.4385 | dt: 197ms | tok/s: 20,796 | remaining: 597s
step 00040 (1.0%) | loss: 6.2705 | gnorm: 1.2432 | dt: 96ms | tok/s: 42,851 | remaining: 594s
step 00060 (1.3%) | loss: 6.0344 | gnorm: 0.9084 | dt: 101ms | tok/s: 40,389 | remaining: 592s
step 00080 (1.6%) | loss: 5.9435 | gnorm: 0.8626 | dt: 96ms | tok/s: 42,789 | remaining: 590s
step 00100 (1.9%) | loss: 5.8519 | gnorm: 0.9701 | dt: 97ms | tok/s: 42,179 | remaining: 588s
step 00120 (2.3%) | loss: 5.8085 | gnorm: 1.1586 | dt: 92ms | tok/s: 44,630 | remaining: 586s
step 00140 (2.6%) | loss: 5.7270 | gnorm: 0.9922 | dt: 95ms | tok/s: 43,068 | remaining: 584s
step 00160 (2.9%) | loss: 5.5973 | gnorm: 0.7226 | dt: 95ms | tok/s: 42,948 | remaining: 583s
step 00180 (3.2%) | loss: 5.4815 | gnorm: 0.9159 | dt: 95ms | tok/s: 43,005 | remaining: 581s
step 00200 (3.5%) | loss: 5.3155 | gnorm: 1.2192 | dt: 92ms | tok/s: 44,301 | remaining: 579s
step 00220 (3.8%) | loss: 5.2422 | gnorm: 1.0541 | dt: 92ms | tok/s: 44,343 | remaining: 577s
