DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 600.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,968
step 00000 (0.0%) | loss: 16.2342 | gnorm: 6.8417 | dt: 122ms | tok/s: 33,611 | remaining: 600s
step 00020 (0.3%) | loss: 31.4051 | gnorm: 3.4969 | dt: 113ms | tok/s: 36,355 | remaining: 598s
step 00040 (0.7%) | loss: 38.4784 | gnorm: 0.9803 | dt: 108ms | tok/s: 37,905 | remaining: 596s
step 00060 (1.0%) | loss: 34.3164 | gnorm: 18.1211 | dt: 120ms | tok/s: 34,140 | remaining: 594s
step 00080 (1.4%) | loss: 21.0735 | gnorm: 2.0316 | dt: 114ms | tok/s: 35,836 | remaining: 591s
step 00100 (1.8%) | loss: 29.5077 | gnorm: 4.1018 | dt: 111ms | tok/s: 36,923 | remaining: 589s
step 00120 (2.1%) | loss: 22.7148 | gnorm: 2.9072 | dt: 114ms | tok/s: 35,903 | remaining: 587s
step 00140 (2.5%) | loss: 28.4267 | gnorm: 1.9497 | dt: 110ms | tok/s: 37,089 | remaining: 585s
step 00160 (2.9%) | loss: 18.0134 | gnorm: 2.1343 | dt: 111ms | tok/s: 36,909 | remaining: 583s
step 00180 (3.2%) | loss: 27.5142 | gnorm: 1.1292 | dt: 110ms | tok/s: 37,127 | remaining: 580s
step 00200 (3.6%) | loss: 26.8882 | gnorm: 15.8784 | dt: 106ms | tok/s: 38,487 | remaining: 578s
step 00220 (4.0%) | loss: 29.2241 | gnorm: 4.8601 | dt: 108ms | tok/s: 37,922 | remaining: 576s
step 00240 (4.3%) | loss: 26.2106 | gnorm: 21.2464 | dt: 108ms | tok/s: 37,941 | remaining: 574s
step 00260 (4.7%) | loss: 18.8135 | gnorm: 0.9568 | dt: 103ms | tok/s: 39,904 | remaining: 572s
step 00280 (5.0%) | loss: 31.0115 | gnorm: 1.1883 | dt: 106ms | tok/s: 38,583 | remaining: 570s
step 00300 (5.4%) | loss: 19.4314 | gnorm: 4.3389 | dt: 106ms | tok/s: 38,707 | remaining: 568s
step 00320 (5.7%) | loss: 24.5737 | gnorm: 2.3687 | dt: 107ms | tok/s: 38,402 | remaining: 566s
step 00340 (6.1%) | loss: 21.8367 | gnorm: 3.3211 | dt: 109ms | tok/s: 37,708 | remaining: 563s
step 00360 (6.4%) | loss: 21.5212 | gnorm: 3.1499 | dt: 104ms | tok/s: 39,323 | remaining: 561s
step 00380 (6.8%) | loss: 18.8300 | gnorm: 0.3418 | dt: 99ms | tok/s: 41,497 | remaining: 559s
step 00400 (7.1%) | loss: 39.4123 | gnorm: 6.8638 | dt: 104ms | tok/s: 39,319 | remaining: 557s
step 00420 (7.5%) | loss: 22.4619 | gnorm: 0.3595 | dt: 98ms | tok/s: 41,794 | remaining: 555s
step 00440 (7.8%) | loss: 24.2299 | gnorm: 21.3343 | dt: 103ms | tok/s: 39,730 | remaining: 553s
step 00460 (8.1%) | loss: 16.3327 | gnorm: 2.0013 | dt: 102ms | tok/s: 40,078 | remaining: 551s
step 00480 (8.5%) | loss: 23.6247 | gnorm: 13.6952 | dt: 102ms | tok/s: 39,971 | remaining: 549s
step 00500 (8.8%) | loss: 12.4662 | gnorm: 0.6193 | dt: 97ms | tok/s: 42,059 | remaining: 547s
step 00520 (9.2%) | loss: 29.0239 | gnorm: 1.8654 | dt: 102ms | tok/s: 40,258 | remaining: 545s
step 00540 (9.5%) | loss: 21.8125 | gnorm: 4.6555 | dt: 101ms | tok/s: 40,405 | remaining: 543s
step 00560 (9.8%) | loss: 28.2067 | gnorm: 0.8311 | dt: 97ms | tok/s: 42,369 | remaining: 541s
step 00580 (10.2%) | loss: 30.0701 | gnorm: 30.0385 | dt: 101ms | tok/s: 40,643 | remaining: 539s
step 00600 (10.5%) | loss: 27.3897 | gnorm: 3.1602 | dt: 101ms | tok/s: 40,437 | remaining: 537s
step 00620 (10.8%) | loss: 25.0423 | gnorm: 5.5286 | dt: 100ms | tok/s: 40,832 | remaining: 535s
step 00640 (11.2%) | loss: 20.7320 | gnorm: 9.2486 | dt: 100ms | tok/s: 40,867 | remaining: 533s
step 00660 (11.5%) | loss: 22.8932 | gnorm: 4.6105 | dt: 100ms | tok/s: 41,021 | remaining: 531s
step 00680 (11.8%) | loss: 20.9331 | gnorm: 0.6964 | dt: 95ms | tok/s: 42,930 | remaining: 529s
step 00700 (12.2%) | loss: 25.6053 | gnorm: 4.1518 | dt: 100ms | tok/s: 41,006 | remaining: 527s
step 00720 (12.5%) | loss: 28.4022 | gnorm: 3.1562 | dt: 100ms | tok/s: 41,161 | remaining: 525s
step 00740 (12.8%) | loss: 25.1426 | gnorm: 71.6349 | dt: 100ms | tok/s: 41,084 | remaining: 523s
step 00760 (13.2%) | loss: 26.4866 | gnorm: 23.4613 | dt: 99ms | tok/s: 41,169 | remaining: 521s
step 00780 (13.5%) | loss: 18.2056 | gnorm: 1.1313 | dt: 99ms | tok/s: 41,273 | remaining: 519s
step 00800 (13.8%) | loss: 16.8285 | gnorm: 2.3060 | dt: 99ms | tok/s: 41,365 | remaining: 517s
step 00820 (14.1%) | loss: 18.0197 | gnorm: 6.6358 | dt: 99ms | tok/s: 41,317 | remaining: 515s
step 00840 (14.5%) | loss: 31.1277 | gnorm: 57.5464 | dt: 99ms | tok/s: 41,255 | remaining: 513s
step 00860 (14.8%) | loss: 19.1125 | gnorm: 2.1637 | dt: 99ms | tok/s: 41,327 | remaining: 511s
step 00880 (15.1%) | loss: 18.1889 | gnorm: 1.4426 | dt: 99ms | tok/s: 41,264 | remaining: 509s
step 00900 (15.5%) | loss: 16.2266 | gnorm: 0.2923 | dt: 94ms | tok/s: 43,739 | remaining: 507s
step 00920 (15.8%) | loss: 12.9132 | gnorm: 1.8347 | dt: 98ms | tok/s: 41,999 | remaining: 505s
step 00940 (16.1%) | loss: 16.6286 | gnorm: 0.9764 | dt: 95ms | tok/s: 43,299 | remaining: 503s
step 00960 (16.4%) | loss: 34.8994 | gnorm: 4.3698 | dt: 98ms | tok/s: 41,854 | remaining: 501s
step 00980 (16.8%) | loss: 20.2973 | gnorm: 0.9796 | dt: 94ms | tok/s: 43,548 | remaining: 499s
step 01000 (17.1%) | loss: 18.0463 | gnorm: 15.5864 | dt: 101ms | tok/s: 40,677 | remaining: 497s
step 01020 (17.4%) | loss: 19.1177 | gnorm: 35.1795 | dt: 99ms | tok/s: 41,381 | remaining: 495s
step 01040 (17.7%) | loss: 21.6102 | gnorm: 5.2414 | dt: 99ms | tok/s: 41,370 | remaining: 494s
step 01060 (18.1%) | loss: 33.4300 | gnorm: 10.1546 | dt: 98ms | tok/s: 41,590 | remaining: 492s
step 01080 (18.4%) | loss: 20.4108 | gnorm: 10.0280 | dt: 101ms | tok/s: 40,525 | remaining: 490s
step 01100 (18.7%) | loss: 16.4634 | gnorm: 2.2832 | dt: 99ms | tok/s: 41,250 | remaining: 488s
step 01120 (19.0%) | loss: 21.8985 | gnorm: 2.4426 | dt: 99ms | tok/s: 41,546 | remaining: 486s
step 01140 (19.4%) | loss: 17.9947 | gnorm: 2.0790 | dt: 99ms | tok/s: 41,473 | remaining: 484s
