DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 600.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,968
step 00000 (0.0%) | loss: 23.7743 | gnorm: 10.1936 | dt: 123ms | tok/s: 33,279 | remaining: 600s
step 00020 (0.2%) | loss: 39.4759 | gnorm: 5.4080 | dt: 100ms | tok/s: 40,917 | remaining: 599s
step 00040 (0.6%) | loss: 46.0346 | gnorm: 1.9875 | dt: 98ms | tok/s: 41,847 | remaining: 597s
step 00060 (0.9%) | loss: 42.9476 | gnorm: 23.5776 | dt: 98ms | tok/s: 41,822 | remaining: 595s
step 00080 (1.2%) | loss: 28.4915 | gnorm: 3.1239 | dt: 97ms | tok/s: 42,035 | remaining: 593s
step 00100 (1.5%) | loss: 37.2235 | gnorm: 6.0249 | dt: 99ms | tok/s: 41,476 | remaining: 591s
step 00120 (1.9%) | loss: 29.6929 | gnorm: 3.8767 | dt: 98ms | tok/s: 41,630 | remaining: 589s
step 00140 (2.2%) | loss: 35.0242 | gnorm: 4.2236 | dt: 98ms | tok/s: 41,669 | remaining: 587s
step 00160 (2.5%) | loss: 23.9662 | gnorm: 3.0208 | dt: 99ms | tok/s: 41,453 | remaining: 585s
step 00180 (2.9%) | loss: 32.4525 | gnorm: 2.7661 | dt: 99ms | tok/s: 41,487 | remaining: 583s
step 00200 (3.2%) | loss: 32.3531 | gnorm: 20.2173 | dt: 98ms | tok/s: 41,905 | remaining: 581s
step 00220 (3.5%) | loss: 34.5542 | gnorm: 6.3822 | dt: 99ms | tok/s: 41,573 | remaining: 579s
step 00240 (3.8%) | loss: 31.3646 | gnorm: 26.9876 | dt: 99ms | tok/s: 41,282 | remaining: 577s
step 00260 (4.2%) | loss: 23.9016 | gnorm: 2.1584 | dt: 99ms | tok/s: 41,569 | remaining: 575s
step 00280 (4.5%) | loss: 35.5072 | gnorm: 2.3631 | dt: 98ms | tok/s: 41,900 | remaining: 573s
step 00300 (4.8%) | loss: 23.8653 | gnorm: 6.2080 | dt: 99ms | tok/s: 41,360 | remaining: 571s
step 00320 (5.2%) | loss: 28.6494 | gnorm: 3.5474 | dt: 99ms | tok/s: 41,385 | remaining: 569s
step 00340 (5.5%) | loss: 25.8602 | gnorm: 4.5840 | dt: 99ms | tok/s: 41,408 | remaining: 567s
step 00360 (5.8%) | loss: 25.8643 | gnorm: 4.7869 | dt: 99ms | tok/s: 41,577 | remaining: 565s
step 00380 (6.1%) | loss: 23.9796 | gnorm: 1.4010 | dt: 98ms | tok/s: 41,631 | remaining: 563s
step 00400 (6.5%) | loss: 42.9554 | gnorm: 8.8219 | dt: 98ms | tok/s: 41,610 | remaining: 561s
step 00420 (6.8%) | loss: 26.9811 | gnorm: 1.5685 | dt: 99ms | tok/s: 41,443 | remaining: 559s
step 00440 (7.1%) | loss: 28.9346 | gnorm: 28.9258 | dt: 101ms | tok/s: 40,660 | remaining: 557s
step 00460 (7.5%) | loss: 20.8454 | gnorm: 3.2458 | dt: 98ms | tok/s: 41,710 | remaining: 555s
step 00480 (7.8%) | loss: 27.8519 | gnorm: 17.9812 | dt: 99ms | tok/s: 41,581 | remaining: 553s
step 00500 (8.1%) | loss: 16.7905 | gnorm: 1.7630 | dt: 99ms | tok/s: 41,387 | remaining: 551s
step 00520 (8.5%) | loss: 33.1001 | gnorm: 2.9469 | dt: 99ms | tok/s: 41,470 | remaining: 549s
step 00540 (8.8%) | loss: 26.2797 | gnorm: 6.8485 | dt: 98ms | tok/s: 41,690 | remaining: 547s
step 00560 (9.1%) | loss: 32.3554 | gnorm: 1.7348 | dt: 98ms | tok/s: 41,657 | remaining: 545s
step 00580 (9.4%) | loss: 34.1674 | gnorm: 39.4719 | dt: 99ms | tok/s: 41,496 | remaining: 543s
step 00600 (9.8%) | loss: 31.0182 | gnorm: 4.7237 | dt: 98ms | tok/s: 41,652 | remaining: 541s
step 00620 (10.1%) | loss: 28.6597 | gnorm: 8.3950 | dt: 98ms | tok/s: 41,944 | remaining: 539s
step 00640 (10.4%) | loss: 24.1120 | gnorm: 12.6790 | dt: 99ms | tok/s: 41,389 | remaining: 537s
step 00660 (10.8%) | loss: 27.2902 | gnorm: 6.3966 | dt: 98ms | tok/s: 41,885 | remaining: 535s
step 00680 (11.1%) | loss: 25.1218 | gnorm: 1.9582 | dt: 98ms | tok/s: 41,701 | remaining: 533s
step 00700 (11.4%) | loss: 29.8081 | gnorm: 4.3594 | dt: 99ms | tok/s: 41,529 | remaining: 531s
step 00720 (11.7%) | loss: 32.4446 | gnorm: 3.9889 | dt: 99ms | tok/s: 41,427 | remaining: 529s
step 00740 (12.1%) | loss: 27.8979 | gnorm: 80.9215 | dt: 99ms | tok/s: 41,381 | remaining: 527s
step 00760 (12.4%) | loss: 30.4412 | gnorm: 29.3519 | dt: 99ms | tok/s: 41,420 | remaining: 526s
step 00780 (12.7%) | loss: 22.2320 | gnorm: 1.9518 | dt: 99ms | tok/s: 41,457 | remaining: 524s
step 00800 (13.1%) | loss: 20.7960 | gnorm: 3.3472 | dt: 99ms | tok/s: 41,398 | remaining: 522s
step 00820 (13.4%) | loss: 21.6833 | gnorm: 10.1666 | dt: 99ms | tok/s: 41,545 | remaining: 520s
step 00840 (13.7%) | loss: 34.3448 | gnorm: 63.4286 | dt: 99ms | tok/s: 41,580 | remaining: 518s
step 00860 (14.0%) | loss: 22.4504 | gnorm: 3.6531 | dt: 99ms | tok/s: 41,500 | remaining: 516s
step 00880 (14.4%) | loss: 21.7570 | gnorm: 2.6082 | dt: 99ms | tok/s: 41,413 | remaining: 514s
step 00900 (14.7%) | loss: 20.2942 | gnorm: 1.1647 | dt: 99ms | tok/s: 41,386 | remaining: 512s
step 00920 (15.0%) | loss: 16.8530 | gnorm: 2.6201 | dt: 99ms | tok/s: 41,578 | remaining: 510s
step 00940 (15.4%) | loss: 20.4541 | gnorm: 1.9880 | dt: 99ms | tok/s: 41,505 | remaining: 508s
step 00960 (15.7%) | loss: 36.1722 | gnorm: 6.9321 | dt: 99ms | tok/s: 41,411 | remaining: 506s
step 00980 (16.0%) | loss: 23.5643 | gnorm: 1.7961 | dt: 99ms | tok/s: 41,569 | remaining: 504s
step 01000 (16.3%) | loss: 21.8998 | gnorm: 19.7557 | dt: 99ms | tok/s: 41,497 | remaining: 502s
step 01020 (16.7%) | loss: 22.6817 | gnorm: 44.1242 | dt: 99ms | tok/s: 41,521 | remaining: 500s
step 01040 (17.0%) | loss: 24.9940 | gnorm: 7.1053 | dt: 99ms | tok/s: 41,499 | remaining: 498s
step 01060 (17.3%) | loss: 36.1835 | gnorm: 14.5832 | dt: 99ms | tok/s: 41,568 | remaining: 496s
step 01080 (17.7%) | loss: 23.6719 | gnorm: 13.9117 | dt: 99ms | tok/s: 41,506 | remaining: 494s
step 01100 (18.0%) | loss: 20.1023 | gnorm: 3.6729 | dt: 98ms | tok/s: 41,775 | remaining: 492s
step 01120 (18.3%) | loss: 25.1499 | gnorm: 4.0302 | dt: 98ms | tok/s: 41,959 | remaining: 490s
step 01140 (18.6%) | loss: 21.3348 | gnorm: 3.2328 | dt: 99ms | tok/s: 41,447 | remaining: 488s
step 01160 (19.0%) | loss: 22.6946 | gnorm: 1.5692 | dt: 99ms | tok/s: 41,439 | remaining: 486s
step 01180 (19.3%) | loss: 24.9773 | gnorm: 23.0665 | dt: 99ms | tok/s: 41,419 | remaining: 484s
step 01200 (19.6%) | loss: 25.5185 | gnorm: 18.5301 | dt: 99ms | tok/s: 41,497 | remaining: 482s
step 01220 (20.0%) | loss: 23.2931 | gnorm: 6.7559 | dt: 99ms | tok/s: 41,291 | remaining: 480s
step 01240 (20.3%) | loss: 18.2766 | gnorm: 3.1039 | dt: 99ms | tok/s: 41,535 | remaining: 478s
step 01260 (20.6%) | loss: 18.0274 | gnorm: 8.4887 | dt: 99ms | tok/s: 41,398 | remaining: 476s
step 01280 (20.9%) | loss: 18.3980 | gnorm: 1.2465 | dt: 99ms | tok/s: 41,477 | remaining: 474s
step 01300 (21.3%) | loss: 22.5003 | gnorm: 1.9610 | dt: 99ms | tok/s: 41,536 | remaining: 472s
step 01320 (21.6%) | loss: 15.1591 | gnorm: 1.5562 | dt: 99ms | tok/s: 41,411 | remaining: 470s
step 01340 (21.9%) | loss: 19.2104 | gnorm: 2.7836 | dt: 99ms | tok/s: 41,490 | remaining: 468s
step 01360 (22.3%) | loss: 15.4834 | gnorm: 3.2269 | dt: 99ms | tok/s: 41,491 | remaining: 466s
step 01380 (22.6%) | loss: 16.9420 | gnorm: 17.6101 | dt: 99ms | tok/s: 41,388 | remaining: 464s
step 01400 (22.9%) | loss: 22.0042 | gnorm: 1.8420 | dt: 98ms | tok/s: 41,632 | remaining: 462s
step 01420 (23.2%) | loss: 24.4828 | gnorm: 9.4867 | dt: 99ms | tok/s: 41,277 | remaining: 460s
step 01440 (23.6%) | loss: 17.4999 | gnorm: 5.2361 | dt: 99ms | tok/s: 41,387 | remaining: 458s
step 01460 (23.9%) | loss: 23.3609 | gnorm: 2.2671 | dt: 99ms | tok/s: 41,482 | remaining: 456s
step 01480 (24.2%) | loss: 23.0129 | gnorm: 7.0488 | dt: 99ms | tok/s: 41,502 | remaining: 455s
step 01500 (24.6%) | loss: 19.5637 | gnorm: 14.4938 | dt: 99ms | tok/s: 41,518 | remaining: 453s
step 01520 (24.9%) | loss: 23.7782 | gnorm: 3.9280 | dt: 98ms | tok/s: 41,710 | remaining: 451s
step 01540 (25.2%) | loss: 18.9907 | gnorm: 21.0903 | dt: 98ms | tok/s: 41,646 | remaining: 449s
step 01560 (25.5%) | loss: 26.0559 | gnorm: 3.6504 | dt: 97ms | tok/s: 42,337 | remaining: 447s
step 01580 (25.9%) | loss: 22.1925 | gnorm: 4.2927 | dt: 99ms | tok/s: 41,429 | remaining: 445s
step 01600 (26.2%) | loss: 25.2135 | gnorm: 0.9262 | dt: 94ms | tok/s: 43,440 | remaining: 443s
step 01620 (26.5%) | loss: 24.5167 | gnorm: 2.3140 | dt: 99ms | tok/s: 41,408 | remaining: 441s
step 01640 (26.9%) | loss: 19.8416 | gnorm: 1.3588 | dt: 98ms | tok/s: 41,752 | remaining: 439s
step 01660 (27.2%) | loss: 17.6865 | gnorm: 5.2637 | dt: 99ms | tok/s: 41,247 | remaining: 437s
step 01680 (27.5%) | loss: 20.5089 | gnorm: 2.4649 | dt: 101ms | tok/s: 40,620 | remaining: 435s
step 01700 (27.8%) | loss: 19.6839 | gnorm: 4.9567 | dt: 99ms | tok/s: 41,481 | remaining: 433s
step 01720 (28.2%) | loss: 25.6677 | gnorm: 3.0000 | dt: 99ms | tok/s: 41,389 | remaining: 431s
step 01740 (28.5%) | loss: 21.5789 | gnorm: 1.8466 | dt: 99ms | tok/s: 41,373 | remaining: 429s
step 01760 (28.8%) | loss: 20.6338 | gnorm: 28.4648 | dt: 101ms | tok/s: 40,370 | remaining: 427s
step 01780 (29.2%) | loss: 21.6562 | gnorm: 9.8464 | dt: 114ms | tok/s: 35,833 | remaining: 425s
step 01800 (29.6%) | loss: 23.1587 | gnorm: 2.3883 | dt: 134ms | tok/s: 30,663 | remaining: 422s
step 01820 (30.1%) | loss: 20.8515 | gnorm: 3.9448 | dt: 139ms | tok/s: 29,369 | remaining: 419s
step 01840 (30.5%) | loss: 22.1747 | gnorm: 3.1201 | dt: 135ms | tok/s: 30,352 | remaining: 417s
