DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 1200.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,968
step 00000 (0.0%) | loss: 23.7743 | gnorm: 10.1936 | dt: 123ms | tok/s: 33,376 | remaining: 1200s
step 00020 (0.1%) | loss: 39.4759 | gnorm: 5.4080 | dt: 97ms | tok/s: 42,080 | remaining: 1199s
step 00040 (0.3%) | loss: 46.0346 | gnorm: 1.9875 | dt: 98ms | tok/s: 41,951 | remaining: 1197s
step 00060 (0.4%) | loss: 42.9476 | gnorm: 23.5776 | dt: 97ms | tok/s: 42,029 | remaining: 1195s
step 00080 (0.6%) | loss: 28.4915 | gnorm: 3.1239 | dt: 97ms | tok/s: 42,106 | remaining: 1193s
step 00100 (0.8%) | loss: 37.2235 | gnorm: 6.0249 | dt: 98ms | tok/s: 41,913 | remaining: 1191s
step 00120 (0.9%) | loss: 29.6929 | gnorm: 3.8767 | dt: 99ms | tok/s: 41,537 | remaining: 1189s
step 00140 (1.1%) | loss: 35.0242 | gnorm: 4.2236 | dt: 99ms | tok/s: 41,519 | remaining: 1187s
step 00160 (1.3%) | loss: 23.9662 | gnorm: 3.0208 | dt: 99ms | tok/s: 41,533 | remaining: 1185s
step 00180 (1.4%) | loss: 32.4525 | gnorm: 2.7681 | dt: 99ms | tok/s: 41,383 | remaining: 1183s
step 00200 (1.6%) | loss: 32.3531 | gnorm: 20.2097 | dt: 99ms | tok/s: 41,524 | remaining: 1181s
step 00220 (1.8%) | loss: 34.5571 | gnorm: 6.3957 | dt: 99ms | tok/s: 41,494 | remaining: 1179s
step 00240 (1.9%) | loss: 31.3790 | gnorm: 27.1925 | dt: 98ms | tok/s: 41,640 | remaining: 1177s
step 00260 (2.1%) | loss: 23.8970 | gnorm: 2.1344 | dt: 99ms | tok/s: 41,553 | remaining: 1175s
step 00280 (2.2%) | loss: 35.6009 | gnorm: 2.4351 | dt: 99ms | tok/s: 41,387 | remaining: 1173s
step 00300 (2.4%) | loss: 23.8517 | gnorm: 6.1461 | dt: 98ms | tok/s: 41,830 | remaining: 1171s
step 00320 (2.6%) | loss: 28.7385 | gnorm: 3.5275 | dt: 99ms | tok/s: 41,374 | remaining: 1169s
step 00340 (2.7%) | loss: 25.9201 | gnorm: 4.5352 | dt: 99ms | tok/s: 41,430 | remaining: 1167s
step 00360 (2.9%) | loss: 25.8103 | gnorm: 4.8201 | dt: 99ms | tok/s: 41,320 | remaining: 1165s
step 00380 (3.1%) | loss: 23.9127 | gnorm: 1.3785 | dt: 99ms | tok/s: 41,523 | remaining: 1163s
step 00400 (3.2%) | loss: 42.8951 | gnorm: 8.8038 | dt: 98ms | tok/s: 41,818 | remaining: 1161s
step 00420 (3.4%) | loss: 26.9492 | gnorm: 1.4529 | dt: 99ms | tok/s: 41,493 | remaining: 1159s
step 00440 (3.6%) | loss: 29.0770 | gnorm: 28.8989 | dt: 99ms | tok/s: 41,416 | remaining: 1157s
step 00460 (3.7%) | loss: 20.8293 | gnorm: 3.1716 | dt: 98ms | tok/s: 41,911 | remaining: 1155s
step 00480 (3.9%) | loss: 27.9623 | gnorm: 17.9598 | dt: 98ms | tok/s: 41,851 | remaining: 1153s
step 00500 (4.1%) | loss: 16.7914 | gnorm: 1.9302 | dt: 99ms | tok/s: 41,447 | remaining: 1151s
step 00520 (4.2%) | loss: 33.0053 | gnorm: 2.7761 | dt: 99ms | tok/s: 41,572 | remaining: 1149s
step 00540 (4.4%) | loss: 26.1598 | gnorm: 6.6378 | dt: 99ms | tok/s: 41,505 | remaining: 1147s
step 00560 (4.5%) | loss: 32.2573 | gnorm: 1.7678 | dt: 99ms | tok/s: 41,489 | remaining: 1145s
step 00580 (4.7%) | loss: 34.0270 | gnorm: 52.9166 | dt: 98ms | tok/s: 41,598 | remaining: 1143s
step 00600 (4.9%) | loss: 31.0673 | gnorm: 4.5510 | dt: 99ms | tok/s: 41,206 | remaining: 1141s
step 00620 (5.0%) | loss: 28.8599 | gnorm: 8.3430 | dt: 100ms | tok/s: 41,010 | remaining: 1139s
step 00640 (5.2%) | loss: 24.0019 | gnorm: 11.9523 | dt: 100ms | tok/s: 41,077 | remaining: 1137s
step 00660 (5.4%) | loss: 27.1766 | gnorm: 6.1034 | dt: 101ms | tok/s: 40,620 | remaining: 1135s
step 00680 (5.5%) | loss: 25.0901 | gnorm: 1.9895 | dt: 100ms | tok/s: 41,118 | remaining: 1133s
step 00700 (5.7%) | loss: 29.5703 | gnorm: 4.5158 | dt: 100ms | tok/s: 41,092 | remaining: 1131s
step 00720 (5.9%) | loss: 32.0339 | gnorm: 4.0222 | dt: 100ms | tok/s: 40,933 | remaining: 1129s
