DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 300.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,200
step 00000 (0.0%) | loss: 7.0400 | gnorm: 4.8660 | dt: 123ms | tok/s: 33,227 | remaining: 300s
step 00020 (0.5%) | loss: 6.6397 | gnorm: 2.0544 | dt: 92ms | tok/s: 44,378 | remaining: 299s
step 00040 (1.2%) | loss: 6.2918 | gnorm: 1.3000 | dt: 121ms | tok/s: 33,766 | remaining: 296s
step 00060 (1.9%) | loss: 6.0677 | gnorm: 0.9083 | dt: 131ms | tok/s: 31,264 | remaining: 294s
step 00080 (2.7%) | loss: 5.9927 | gnorm: 0.8820 | dt: 99ms | tok/s: 41,301 | remaining: 292s
step 00100 (3.4%) | loss: 5.9186 | gnorm: 0.8213 | dt: 123ms | tok/s: 33,395 | remaining: 290s
step 00120 (4.2%) | loss: 5.8899 | gnorm: 1.2244 | dt: 100ms | tok/s: 41,072 | remaining: 287s
step 00140 (4.9%) | loss: 5.8665 | gnorm: 0.8342 | dt: 125ms | tok/s: 32,758 | remaining: 285s
step 00160 (5.7%) | loss: 5.8221 | gnorm: 0.7522 | dt: 112ms | tok/s: 36,440 | remaining: 283s
step 00180 (6.4%) | loss: 5.7362 | gnorm: 0.8443 | dt: 94ms | tok/s: 43,444 | remaining: 281s
step 00200 (7.1%) | loss: 5.6024 | gnorm: 1.2391 | dt: 110ms | tok/s: 37,310 | remaining: 279s
step 00220 (7.8%) | loss: 5.5847 | gnorm: 1.0385 | dt: 92ms | tok/s: 44,291 | remaining: 277s
step 00240 (8.4%) | loss: 5.4665 | gnorm: 1.0290 | dt: 110ms | tok/s: 37,237 | remaining: 275s
step 00260 (9.1%) | loss: 5.3424 | gnorm: 0.8171 | dt: 101ms | tok/s: 40,673 | remaining: 272s
step 00280 (9.9%) | loss: 5.3054 | gnorm: 0.9183 | dt: 114ms | tok/s: 35,928 | remaining: 270s
step 00300 (10.6%) | loss: 5.2385 | gnorm: 0.8837 | dt: 114ms | tok/s: 36,083 | remaining: 268s
step 00320 (11.3%) | loss: 5.1475 | gnorm: 1.1322 | dt: 118ms | tok/s: 34,716 | remaining: 266s
step 00340 (12.1%) | loss: 5.1563 | gnorm: 0.8721 | dt: 118ms | tok/s: 34,570 | remaining: 264s
step 00360 (12.8%) | loss: 5.0034 | gnorm: 0.8077 | dt: 96ms | tok/s: 42,638 | remaining: 262s
step 00380 (13.5%) | loss: 4.9916 | gnorm: 0.7457 | dt: 113ms | tok/s: 36,089 | remaining: 259s
step 00400 (14.2%) | loss: 4.9717 | gnorm: 0.6321 | dt: 96ms | tok/s: 42,501 | remaining: 257s
step 00420 (14.9%) | loss: 4.9777 | gnorm: 0.7300 | dt: 113ms | tok/s: 36,107 | remaining: 255s
step 00440 (15.6%) | loss: 4.9720 | gnorm: 0.9061 | dt: 114ms | tok/s: 35,835 | remaining: 253s
step 00460 (16.3%) | loss: 4.9456 | gnorm: 0.7991 | dt: 104ms | tok/s: 39,554 | remaining: 251s
step 00480 (17.0%) | loss: 4.9113 | gnorm: 0.8609 | dt: 97ms | tok/s: 42,143 | remaining: 249s
step 00500 (17.8%) | loss: 4.9036 | gnorm: 1.0122 | dt: 95ms | tok/s: 42,899 | remaining: 247s
step 00520 (18.5%) | loss: 4.7640 | gnorm: 0.8390 | dt: 107ms | tok/s: 38,375 | remaining: 244s
step 00540 (19.2%) | loss: 4.8357 | gnorm: 0.7689 | dt: 114ms | tok/s: 35,941 | remaining: 242s
step 00560 (19.9%) | loss: 4.7201 | gnorm: 0.7998 | dt: 98ms | tok/s: 41,861 | remaining: 240s
step 00580 (20.7%) | loss: 4.7294 | gnorm: 0.7901 | dt: 107ms | tok/s: 38,233 | remaining: 238s
step 00600 (21.4%) | loss: 4.7026 | gnorm: 0.7326 | dt: 95ms | tok/s: 42,917 | remaining: 236s
step 00620 (22.0%) | loss: 4.6688 | gnorm: 0.7315 | dt: 95ms | tok/s: 43,099 | remaining: 234s
step 00640 (22.7%) | loss: 4.6171 | gnorm: 0.8498 | dt: 116ms | tok/s: 35,288 | remaining: 232s
step 00660 (23.4%) | loss: 4.8515 | gnorm: 0.9222 | dt: 98ms | tok/s: 41,809 | remaining: 230s
step 00680 (24.1%) | loss: 4.6908 | gnorm: 1.1044 | dt: 96ms | tok/s: 42,570 | remaining: 227s
step 00700 (24.8%) | loss: 4.7433 | gnorm: 0.8064 | dt: 120ms | tok/s: 34,234 | remaining: 225s
step 00720 (25.6%) | loss: 4.7244 | gnorm: 1.1611 | dt: 122ms | tok/s: 33,658 | remaining: 223s
step 00740 (26.4%) | loss: 4.6819 | gnorm: 0.7383 | dt: 103ms | tok/s: 39,844 | remaining: 221s
step 00760 (27.1%) | loss: 4.6537 | gnorm: 0.6943 | dt: 127ms | tok/s: 32,182 | remaining: 218s
step 00780 (27.9%) | loss: 4.5905 | gnorm: 0.8550 | dt: 127ms | tok/s: 32,157 | remaining: 216s
step 00800 (28.7%) | loss: 4.5959 | gnorm: 0.9224 | dt: 121ms | tok/s: 33,913 | remaining: 214s
step 00820 (29.5%) | loss: 4.6381 | gnorm: 0.6907 | dt: 103ms | tok/s: 39,843 | remaining: 211s
step 00840 (30.3%) | loss: 4.6263 | gnorm: 0.8035 | dt: 100ms | tok/s: 40,889 | remaining: 209s
step 00860 (31.0%) | loss: 4.6052 | gnorm: 0.7488 | dt: 115ms | tok/s: 35,599 | remaining: 207s
step 00880 (31.7%) | loss: 4.5310 | gnorm: 0.8586 | dt: 98ms | tok/s: 41,973 | remaining: 205s
step 00900 (32.4%) | loss: 4.5645 | gnorm: 0.6961 | dt: 98ms | tok/s: 41,652 | remaining: 203s
step 00920 (33.1%) | loss: 4.5017 | gnorm: 0.7334 | dt: 96ms | tok/s: 42,502 | remaining: 201s
step 00940 (33.8%) | loss: 4.4330 | gnorm: 0.7382 | dt: 96ms | tok/s: 42,551 | remaining: 198s
step 00960 (34.5%) | loss: 4.5617 | gnorm: 0.6692 | dt: 115ms | tok/s: 35,720 | remaining: 196s
step 00980 (35.3%) | loss: 4.4907 | gnorm: 0.7204 | dt: 103ms | tok/s: 39,648 | remaining: 194s
